País de residencia;Total Nacional y CCAA;Tipo de dato;Gastos y duración media de los viajes;Periodo;Total
Total;Total;Dato base;Gasto total;2023;108.789,41
Total;Total;Dato base;Gasto total;2022;87.138,19
Total;Total;Dato base;Gasto total;2021;34.903,37
Total;Total;Dato base;Gasto total;2020;19.786,78
Total;Total;Dato base;Gasto total;2019;91.911,97
Total;Total;Dato base;Gasto total;2018;89.750,75
Total;Total;Dato base;Gasto total;2017;87.003,93
Total;Total;Dato base;Gasto total;2016;77.415,54
Total;Total;Dato base;Gasto medio por persona;2023;1.277
Total;Total;Dato base;Gasto medio por persona;2022;1.216
Total;Total;Dato base;Gasto medio por persona;2021;1.119
Total;Total;Dato base;Gasto medio por persona;2020;1.045
Total;Total;Dato base;Gasto medio por persona;2019;1.101
Total;Total;Dato base;Gasto medio por persona;2018;1.084
Total;Total;Dato base;Gasto medio por persona;2017;1.063
Total;Total;Dato base;Gasto medio por persona;2016;1.028
Total;Total;Dato base;Gasto medio diario por persona;2023;177
Total;Total;Dato base;Gasto medio diario por persona;2022;162
Total;Total;Dato base;Gasto medio diario por persona;2021;137
Total;Total;Dato base;Gasto medio diario por persona;2020;134
Total;Total;Dato base;Gasto medio diario por persona;2019;155
Total;Total;Dato base;Gasto medio diario por persona;2018;146
Total;Total;Dato base;Gasto medio diario por persona;2017;137
Total;Total;Dato base;Gasto medio diario por persona;2016;130
Total;Total;Dato base;Duración media de los viajes;2023;7,22
Total;Total;Dato base;Duración media de los viajes;2022;7,5
Total;Total;Dato base;Duración media de los viajes;2021;8,15
Total;Total;Dato base;Duración media de los viajes;2020;7,82
Total;Total;Dato base;Duración media de los viajes;2019;7,11
Total;Total;Dato base;Duración media de los viajes;2018;7,45
Total;Total;Dato base;Duración media de los viajes;2017;7,74
Total;Total;Dato base;Duración media de los viajes;2016;7,88
Total;Total;Tasa de variación anual;Gasto total;2023;24,85
Total;Total;Tasa de variación anual;Gasto total;2022;149,66
Total;Total;Tasa de variación anual;Gasto total;2021;76,4
Total;Total;Tasa de variación anual;Gasto total;2020;-78,47
Total;Total;Tasa de variación anual;Gasto total;2019;2,41
Total;Total;Tasa de variación anual;Gasto total;2018;3,16
Total;Total;Tasa de variación anual;Gasto total;2017;12,39
Total;Total;Tasa de variación anual;Gasto total;2016;9,21
Total;Total;Tasa de variación anual;Gasto medio por persona;2023;5,04
Total;Total;Tasa de variación anual;Gasto medio por persona;2022;8,63
Total;Total;Tasa de variación anual;Gasto medio por persona;2021;7,11
Total;Total;Tasa de variación anual;Gasto medio por persona;2020;-5,05
Total;Total;Tasa de variación anual;Gasto medio por persona;2019;1,55
Total;Total;Tasa de variación anual;Gasto medio por persona;2018;1,99
Total;Total;Tasa de variación anual;Gasto medio por persona;2017;3,39
Total;Total;Tasa de variación anual;Gasto medio por persona;2016;-1,14
Total;Total;Tasa de variación anual;Gasto medio diario por persona;2023;9,15
