Sexo;Duración;Destino;Tipo de dato;Periodo;Total
Total;Total;Total;Porcentaje sobre personas de la categoría;2023;68,79
Total;Total;Total;Porcentaje sobre personas de la categoría;2022;65,37
Total;Total;Total;Porcentaje sobre personas de la categoría;2021;54,12
Total;Total;Total;Porcentaje sobre personas de la categoría;2020;63,95
Total;Total;Total;Porcentaje sobre personas de la categoría;2019;69,66
Total;Total;Total;Porcentaje sobre personas de la categoría;2018;67,37
Total;Total;Total;Porcentaje sobre personas de la categoría;2017;65,64
Total;Total;Total;Porcentaje sobre personas de la categoría;2016;65,73
Total;Total;Total;Porcentaje sobre personas de la categoría;2015;62,8
Total;Total;Total;Porcentaje sobre el total de viajeros;2023;100
Total;Total;Total;Porcentaje sobre el total de viajeros;2022;100
Total;Total;Total;Porcentaje sobre el total de viajeros;2021;100
Total;Total;Total;Porcentaje sobre el total de viajeros;2020;100
Total;Total;Total;Porcentaje sobre el total de viajeros;2019;100
Total;Total;Total;Porcentaje sobre el total de viajeros;2018;100
Total;Total;Total;Porcentaje sobre el total de viajeros;2017;100
Total;Total;Total;Porcentaje sobre el total de viajeros;2016;100
Total;Total;Total;Porcentaje sobre el total de viajeros;2015;100
Total;Total;Solo España;Porcentaje sobre personas de la categoría;2023;44,54
Total;Total;Solo España;Porcentaje sobre personas de la categoría;2022;47,59
Total;Total;Solo España;Porcentaje sobre personas de la categoría;2021;46,69
Total;Total;Solo España;Porcentaje sobre personas de la categoría;2020;44,6
Total;Total;Solo España;Porcentaje sobre personas de la categoría;2019;43,61
Total;Total;Solo España;Porcentaje sobre personas de la categoría;2018;43,09
Total;Total;Solo España;Porcentaje sobre personas de la categoría;2017;43,46
Total;Total;Solo España;Porcentaje sobre personas de la categoría;2016;45,13
Total;Total;Solo España;Porcentaje sobre personas de la categoría;2015;43,48
Total;Total;Solo España;Porcentaje sobre el total de viajeros;2023;64,75
Total;Total;Solo España;Porcentaje sobre el total de viajeros;2022;72,8
Total;Total;Solo España;Porcentaje sobre el total de viajeros;2021;86,27
Total;Total;Solo España;Porcentaje sobre el total de viajeros;2020;69,74
Total;Total;Solo España;Porcentaje sobre el total de viajeros;2019;62,61
Total;Total;Solo España;Porcentaje sobre el total de viajeros;2018;63,95
Total;Total;Solo España;Porcentaje sobre el total de viajeros;2017;66,21
Total;Total;Solo España;Porcentaje sobre el total de viajeros;2016;68,67
Total;Total;Solo España;Porcentaje sobre el total de viajeros;2015;69,23
Total;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2023;5,3
Total;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2022;3,98
Total;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2021;2,27
Total;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2020;4,12
Total;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2019;5,73
Total;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2018;5,68
Total;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2017;5,38
Total;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2016;5,28
Total;Total;Solo extranjero;Porcentaje sobre personas de la categoría;2015;5,18
Total;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2023;7,71
Total;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2022;6,08
Total;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2021;4,19
Total;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2020;6,44
Total;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2019;8,23
Total;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2018;8,42
Total;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2017;8,19
Total;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2016;8,03
Total;Total;Solo extranjero;Porcentaje sobre el total de viajeros;2015;8,25
Total;Total;España y extranjero;Porcentaje sobre personas de la categoría;2023;18,94
Total;Total;España y extranjero;Porcentaje sobre personas de la categoría;2022;13,81
Total;Total;España y extranjero;Porcentaje sobre personas de la categoría;2021;5,17
Total;Total;España y extranjero;Porcentaje sobre personas de la categoría;2020;15,23
Total;Total;España y extranjero;Porcentaje sobre personas de la categoría;2019;20,32
Total;Total;España y extranjero;Porcentaje sobre personas de la categoría;2018;18,61
Total;Total;España y extranjero;Porcentaje sobre personas de la categoría;2017;16,8
Total;Total;España y extranjero;Porcentaje sobre personas de la categoría;2016;15,32
Total;Total;España y extranjero;Porcentaje sobre personas de la categoría;2015;14,14
Total;Total;España y extranjero;Porcentaje sobre el total de viajeros;2023;27,54
Total;Total;España y extranjero;Porcentaje sobre el total de viajeros;2022;21,12
Total;Total;España y extranjero;Porcentaje sobre el total de viajeros;2021;9,55
Total;Total;España y extranjero;Porcentaje sobre el total de viajeros;2020;23,82
Total;Total;España y extranjero;Porcentaje sobre el total de viajeros;2019;29,17
Total;Total;España y extranjero;Porcentaje sobre el total de viajeros;2018;27,62
Total;Total;España y extranjero;Porcentaje sobre el total de viajeros;2017;25,6
Total;Total;España y extranjero;Porcentaje sobre el total de viajeros;2016;23,3
Total;Total;España y extranjero;Porcentaje sobre el total de viajeros;2015;22,52
Total;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2023;55,01
Total;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2022;52,1
Total;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2021;38,62
Total;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2020;48,61
Total;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2019;53,41
Total;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2018;49,42
Total;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2017;51,54
Total;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2016;47,26
Total;De 1 a 3 noches;Total;Porcentaje sobre personas de la categoría;2015;45,98
Total;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2023;79,97
Total;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2022;79,7
Total;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2021;71,36
Total;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2020;76,01
Total;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2019;76,67
Total;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2018;73,35
Total;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2017;78,51
Total;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2016;71,9
Total;De 1 a 3 noches;Total;Porcentaje sobre el total de viajeros;2015;73,22
Total;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2023;35,15
Total;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2022;37,49
Total;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2021;33,16
Total;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2020;33,31
Total;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2019;32,7
Total;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2018;30,9
Total;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2017;34,15
Total;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2016;32,36
Total;De 1 a 3 noches;Solo España;Porcentaje sobre personas de la categoría;2015;31,82
Total;De 1 a 3 noches;Solo España;Porcentaje sobre el total de viajeros;2023;51,1
